id_tiempo,fecha,año,semestre,trimestre,mes,mes_nombre,dia_semana,semana,fecha_inicio_año,fecha_fin_año,fecha_inicio_semestre,fecha_fin_semestre,fecha_inicio_trimestre,fecha_fin_trimestre,fecha_inicio_mes,fecha_fin_mes,fecha_inicio_semana,fecha_fin_semana
20200126,2020-01-26 00:00:00,2020,1,1,1,Enero,Domingo,4,2020-01-01 00:00:00,2020-12-30 00:00:00,2020-01-01 00:00:00,2020-06-30 00:00:00,2020-01-01 00:00:00,2020-03-31 00:00:00,2020-01-01 00:00:00,2020-01-31 00:00:00,2020-01-20 00:00:00,2020-01-26 00:00:00
20200127,2020-01-27 00:00:00,2020,1,1,1,Enero,Lunes,5,2020-01-01 00:00:00,2020-12-30 00:00:00,2020-01-01 00:00:00,2020-06-30 00:00:00,2020-01-01 00:00:00,2020-03-31 00:00:00,2020-01-01 00:00:00,2020-01-31 00:00:00,2020-01-27 00:00:00,2020-02-02 00:00:00
20200128,2020-01-28 00:00:00,2020,1,1,1,Enero,Martes,5,2020-01-01 00:00:00,2020-12-30 00:00:00,2020-01-01 00:00:00,2020-06-30 00:00:00,2020-01-01 00:00:00,2020-03-31 00:00:00,2020-01-01 00:00:00,2020-01-31 00:00:00,2020-01-27 00:00:00,2020-02-02 00:00:00
20200129,2020-01-29 00:00:00,2020,1,1,1,Enero,Miércoles,5,2020-01-01 00:00:00,2020-12-30 00:00:00,2020-01-01 00:00:00,2020-06-30 00:00:00,2020-01-01 00:00:00,2020-03-31 00:00:00,2020-01-01 00:00:00,2020-01-31 00:00:00,2020-01-27 00:00:00,2020-02-02 00:00:00
20200130,2020-01-30 00:00:00,2020,1,1,1,Enero,Jueves,5,2020-01-01 00:00:00,2020-12-30 00:00:00,2020-01-01 00:00:00,2020-06-30 00:00:00,2020-01-01 00:00:00,2020-03-31 00:00:00,2020-01-01 00:00:00,2020-01-31 00:00:00,2020-01-27 00:00:00,2020-02-02 00:00:00
20200131,2020-01-31 00:00:00,2020,1,1,1,Enero,Viernes,5,2020-01-01 00:00:00,2020-12-30 00:00:00,2020-01-01 00:00:00,2020-06-30 00:00:00,2020-01-01 00:00:00,2020-03-31 00:00:00,2020-01-01 00:00:00,2020-01-31 00:00:00,2020-01-27 00:00:00,2020-02-02 00:00:00
20200201,2020-02-01 00:00:00,2020,1,1,2,Febrero,Sábado,5,2020-01-01 00:00:00,2020-12-30 00:00:00,2020-01-01 00:00:00,2020-06-30 00:00:00,2020-01-01 00:00:00,2020-03-31 00:00:00,2020-02-01 00:00:00,2020-02-29 00:00:00,2020-01-27 00:00:00,2020-02-02 00:00:00
20200202,2020-02-02 00:00:00,2020,1,1,2,Febrero,Domingo,5,2020-01-01 00:00:00,2020-12-30 00:00:00,2020-01-01 00:00:00,2020-06-30 00:00:00,2020-01-01 00:00:00,2020-03-31 00:00:00,2020-02-01 00:00:00,2020-02-29 00:00:00,2020-01-27 00:00:00,2020-02-02 00:00:00
20200203,2020-02-03 00:00:00,2020,1,1,2,Febrero,Lunes,6,2020-01-01 00:00:00,2020-12-30 00:00:00,2020-01-01 00:00:00,2020-06-30 00:00:00,2020-01-01 00:00:00,2020-03-31 00:00:00,2020-02-01 00:00:00,2020-02-29 00:00:00,2020-02-03 00:00:00,2020-02-09 00:00:00
20200204,2020-02-04 00:00:00,2020,1,1,2,Febrero,Martes,6,2020-01-01 00:00:00,2020-12-30 00:00:00,2020-01-01 00:00:00,2020-06-30 00:00:00,2020-01-01 00:00:00,2020-03-31 00:00:00,2020-02-01 00:00:00,2020-02-29 00:00:00,2020-02-03 00:00:00,2020-02-09 00:00:00
20200205,2020-02-05 00:00:00,2020,1,1,2,Febrero,Miércoles,6,2020-01-01 00:00:00,2020-12-30 00:00:00,2020-01-01 00:00:00,2020-06-30 00:00:00,2020-01-01 00:00:00,2020-03-31 00:00:00,2020-02-01 00:00:00,2020-02-29 00:00:00,2020-02-03 00:00:00,2020-02-09 00:00:00
20200206,2020-02-06 00:00:00,2020,1,1,2,Febrero,Jueves,6,2020-01-01 00:00:00,2020-12-30 00:00:00,2020-01-01 00:00:00,2020-06-30 00:00:00,2020-01-01 00:00:00,2020-03-31 00:00:00,2020-02-01 00:00:00,2020-02-29 00:00:00,2020-02-03 00:00:00,2020-02-09 00:00:00
20200207,2020-02-07 00:00:00,2020,1,1,2,Febrero,Viernes,6,2020-01-01 00:00:00,2020-12-30 00:00:00,2020-01-01 00:00:00,2020-06-30 00:00:00,2020-01-01 00:00:00,2020-03-31 00:00:00,2020-02-01 00:00:00,2020-02-29 00:00:00,2020-02-03 00:00:00,2020-02-09 00:00:00
20200208,2020-02-08 00:00:00,2020,1,1,2,Febrero,Sábado,6,2020-01-01 00:00:00,2020-12-30 00:00:00,2020-01-01 00:00:00,2020-06-30 00:00:00,2020-01-01 00:00:00,2020-03-31 00:00:00,2020-02-01 00:00:00,2020-02-29 00:00:00,2020-02-03 00:00:00,2020-02-09 00:00:00
